date_of_infraction,infraction_code,infraction_description,set_fine_amount,location2
20220101,3,PARK ON PRIVATE PROPERTY,30,238 WELLESLEY ST E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,238 WELLESLEY ST E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,238 WELLESLEY ST E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,238 WELLESLEY ST E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,25 SAN ROMANOWAY
20220101,3,PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,25 SAN ROMANOWAY
20220101,3,PARK ON PRIVATE PROPERTY,30,25 SAN ROMANOWAY
